bus,name,base_kv,type,voltage_pu,angle_deg
620,SS2-1A-PV4-1,33.0,1,0.997759997844696,29.757722854614258
621,SS2-1A-PV4-2,33.0,1,0.9977596998214722,29.757699966430664
622,SS2-1A-PV5-1,33.0,1,0.9975754618644714,29.75660514831543
623,SS2-1A-PV5-2,33.0,1,0.9975516200065613,29.75690269470215
624,SS2-1A-PV6-1,33.0,1,0.9977177977561951,29.758699417114258
625,SS2-1A-PV6-2,33.0,1,0.997717559337616,29.758676528930664
626,SS2-1B,33.0,1,0.9970765113830566,29.705265045166016
627,SS2-1B-PV1-1,33.0,1,0.9972015619277954,29.70216178894043
628,SS2-1B-PV1-2,33.0,1,0.9972022771835327,29.702045440673828
629,SS2-1B-PV2-1,33.0,1,0.9971765279769897,29.702739715576172
630,SS2-1B-PV2-2,33.0,1,0.997177243232727,29.70262336730957
631,SS2-1B-PV3-1,33.0,1,0.9971566200256348,29.703203201293945
632,SS2-1B-PV3-2,33.0,1,0.9971573352813721,29.703086853027344
633,SS2-1B-PV4-1,33.0,1,0.9970970153808594,29.702051162719727
634,SS2-1B-PV4-2,33.0,1,0.9970977902412415,29.701934814453125
635,SS2-1B-PV5-1,33.0,1,0.997158944606781,29.70314598083496
636,SS2-1B-PV5-2,33.0,1,0.9971595406532288,29.703039169311523
637,SS2-1B-PV6-1,33.0,1,0.9971408247947693,29.703577041625977
638,SS2-1B-PV6-2,33.0,1,0.9971415400505066,29.703460693359375
639,SS2-2A,33.0,1,0.9971142411231995,29.705472946166992
640,SS2-2A-PV1-1,33.0,1,0.9972373247146606,29.702383041381836
641,SS2-2A-PV1-2,33.0,1,0.9972370862960815,29.702360153198242
642,SS2-2A-PV2-1,33.0,1,0.9971823692321777,29.70054817199707
643,SS2-2A-PV2-2,33.0,1,0.9971561431884766,29.700851440429688
644,SS2-2A-PV3-1,33.0,1,0.9972293376922607,29.70261001586914
645,SS2-2A-PV3-2,33.0,1,0.9972309470176697,29.70242691040039
646,SS2-2A-PV4-1,33.0,1,0.997217059135437,29.702909469604492
