bus1,bus2,bus3,id,status,rating_w1_RATEA,rating_w2_RATEA,rating_w3_RATEA,w1_P_MW,w1_Q_Mvar,w1_MVA,w2_P_MW,w2_Q_Mvar,w2_MVA,w3_P_MW,w3_Q_Mvar,w3_MVA,name,flow_source
650,110,233,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV6-1,not_available
687,111,239,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV5-1,not_available
683,113,131,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV3-1,not_available
672,114,236,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV4-1,not_available
666,115,241,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV1-1,not_available
676,116,230,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV6-1,not_available
674,117,237,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV5-1,not_available
670,118,125,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV3-1,not_available
709,119,128,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV3-1,not_available
711,120,130,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV4-1,not_available
715,121,212,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV6-1,not_available
681,122,231,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV2-1,not_available
716,244,482,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV6-2,not_available
701,245,446,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV5-2,not_available
703,246,368,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV6-2,not_available
712,247,480,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV4-2,not_available
699,248,369,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV4-2,not_available
671,249,481,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV3-2,not_available
708,250,479,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV2-2,not_available
617,251,375,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV2-2,not_available
619,252,372,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV3-2,not_available
621,253,373,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV4-2,not_available
623,255,371,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV5-2,not_available
615,256,377,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV1-2,not_available
625,257,378,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV6-2,not_available
632,258,376,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV3-2,not_available
636,259,379,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV5-2,not_available
638,260,384,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV6-2,not_available
630,261,370,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV2-2,not_available
628,262,383,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV1-2,not_available
645,263,380,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV3-2,not_available
634,264,381,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV4-2,not_available
658,266,389,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV3-2,not_available
651,267,466,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV6-2,not_available
647,268,388,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV4-2,not_available
643,269,382,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV2-2,not_available
